PORTAL DADOS ABERTOS;;
BANCO DE DADOS :;CGRH_APOIO;
FONTE                     :;CADASTRO FUNCIONAL/BFE - BOLETIM DE FREQUÊNCIA - SEDUC;
;;
TABELA 1               :;DBO.BASE_AUSENCIAS_0419;
;;
ESTRUTURA - SQL;;
REGIAO_EXERC;Região de Exercício (Capital, Grande São Paulo, Interior, Órgãos Centrais);
DE_EXERC;Diretoria de Ensino  da UA_Exercício;
CIE_ESCOLA;Código de Escola (da UA de Exercício);
UA_EXERC;Código de UA de Exercício;
NOME_UA_EXERC;Denominação da UA de Exercício;
MUNICIPIO_EXERC;Município da UA de Exercício;
QUADRO_EXERC;Quadro do Cargo de Exercício (QM, QAE, QSE);
DI;Dígito Identificador;
CARGO_EXERC;Código do Cargo de Exercício;
NOME_CARGO_EXERC;Denominação do Cargo de Exercício;
CATEG_E;Categoria Funcional de Exercício;
TT_DIAS_FALTA_MEDICA;Total Dias Ausências - Falta Médica;
TT_DIAS_FALTA_JUST;Total Dias Ausências - Falta Justificada;
TT_DIAS_FALTA_INJUST;Total Dias Ausências - Falta Injustificada;
TT_DIAS_FALTA_ABONADA;Total Dias Ausências - Falta Abonada;
TT_DIAS_LIC_PREMIO;Total Dias Ausências- Licença Prêmio;
TT_DIAS_LIC_GESTANTE;Total Dias Ausências - Licença Gestante;
TT_DIAS_LIC_ACID_TRAB;Total Dias Ausências - Licença Acidente de Trabalho;
TT_DIAS_LIC_INTER_PARTIC;Total Dias Ausências - Licença Interesses Particulares;
TOT_DIAS_AUSENCIAS;Total Dias Ausências no Mês de referência;
TOTAL_DIAS_MES;Total Dias do Mês de referência;
;;
Nota: FALTARG.sql;;
