PORTAL DADOS ABERTOS;;
BANCO DE DADOS :;CGRH_APOIO;
FONTE                     :;CADASTRO FUNCIONAL/PESSOAL   DA EDUCAÇÃO- SEDUC;
;;
TABELA  4               :;DBO.BASE_SERVIDORES ATIVOS_0419;
;;
POLO_C;Grupo de Diretorias de Ensino;
REGIAO_C;Região de Classificação (Capital, Grande São Paulo, Interior, Órgãos Centrais);
NOMEDE_C;Diretoria de Ensino  da UA_Classificação;
UAC;Código de UA de Classificação;
NOMEUA_C;Denominação da UA de Classificação;
MUNICIPIO_C;Município da UA de Classificação;
DI;Dígito Identificador;
SEXO;Sexo;
DATA_NASCIMENTO;Data de Nascimento;
IDADE;Idade;
CARGO_C;Código do Cargo de Classificação;
NOMECAR_C;Denominação do  Cargo de Classificação;
QUADRO_C;Quadro do Cargo de Classificação (QM, QAE, QSE);
CATEG_C;Categoria Funcional de Classificação;
DT_INICIO_EXERCICIO_C;Data Início de Exercício no Cargo de Classificação;
ANOS_TRAB_CARGO_C;Tempo no Cargo de Classificação;
DTPOSSE_C;Data da Posse no Cargo de Classificação;
DISC_CONCURSO;Disciplina de Concurso;
POLO_E;Polo;
REGIAO_E;Região de Exercício (Capital, Grande São Paulo, Interior, Órgãos Centrais);
NOMEDE_E;Diretoria de Ensino  da UA_Exercício;
UA_E;Código de UA de Exercício;
LOCAL_UA;Código de UA Local;
NOMEUA_E;Denominação da UA de Exercício;
MUNICIPIO_E;Município da UA de Exercício;
CARGO_E;Código do Cargo de Exercício;
NOMECAR_E;Denominação do Cargo de Exercício;
QUADRO_E;Quadro do Cargo de Exercício (QM, QAE, QSE, Órgão Central);
CATEG_E;Categoria Funcional de Exercício;
DATA_INICIO_EXERCICIO_E;Data Início de Exercício no Cargo de Exercício;
DTPOSSE_E;Data da Posse no Cargo de Exercício;
QTDE_ATS;Qtde Adicional Tempo de Serviço;
JORNADA;"Jornada (C-Completa; B-Básica; I-Inicial; R-Reduzida)";
TIPO_DEF;Tipo Deficiência;
ID_COR;Cor;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
